,number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_weights,state
0,0,0.1405275270585254,2025-03-06 22:43:05.421056,2025-03-06 22:43:05.901344,0 days 00:00:00.480288,minkowski,15,uniform,COMPLETE
1,1,0.6260979073576495,2025-03-06 22:43:05.903451,2025-03-06 22:43:06.179740,0 days 00:00:00.276289,euclidean,13,distance,COMPLETE
2,2,0.1405275270585254,2025-03-06 22:43:06.179740,2025-03-06 22:43:06.401779,0 days 00:00:00.222039,manhattan,14,uniform,COMPLETE
3,3,0.6260979073576495,2025-03-06 22:43:06.401779,2025-03-06 22:43:06.657909,0 days 00:00:00.256130,manhattan,12,distance,COMPLETE
4,4,0.1405275270585254,2025-03-06 22:43:06.657909,2025-03-06 22:43:06.915445,0 days 00:00:00.257536,euclidean,15,uniform,COMPLETE
5,5,0.1405275270585254,2025-03-06 22:43:06.915445,2025-03-06 22:43:07.116857,0 days 00:00:00.201412,minkowski,12,uniform,COMPLETE
6,6,0.6260979073576495,2025-03-06 22:43:07.116857,2025-03-06 22:43:07.375952,0 days 00:00:00.259095,manhattan,4,distance,COMPLETE
7,7,0.6260979073576495,2025-03-06 22:43:07.375952,2025-03-06 22:43:07.585327,0 days 00:00:00.209375,minkowski,15,distance,COMPLETE
8,8,0.1405275270585254,2025-03-06 22:43:07.585327,2025-03-06 22:43:07.805012,0 days 00:00:00.219685,manhattan,14,uniform,COMPLETE
9,9,0.6260979073576495,2025-03-06 22:43:07.806018,2025-03-06 22:43:08.001522,0 days 00:00:00.195504,euclidean,9,distance,COMPLETE
10,10,0.6260979073576495,2025-03-06 22:43:08.003528,2025-03-06 22:43:08.203648,0 days 00:00:00.200120,euclidean,8,distance,COMPLETE
11,11,0.6260979073576495,2025-03-06 22:43:08.203648,2025-03-06 22:43:08.454129,0 days 00:00:00.250481,manhattan,11,distance,COMPLETE
12,12,0.6260979073576495,2025-03-06 22:43:08.454129,2025-03-06 22:43:08.645865,0 days 00:00:00.191736,euclidean,11,distance,COMPLETE
13,13,0.6260979073576495,2025-03-06 22:43:08.645865,2025-03-06 22:43:08.953827,0 days 00:00:00.307962,manhattan,7,distance,COMPLETE
14,14,0.6260979073576495,2025-03-06 22:43:08.953827,2025-03-06 22:43:09.161092,0 days 00:00:00.207265,euclidean,12,distance,COMPLETE
15,15,0.6260979073576495,2025-03-06 22:43:09.161092,2025-03-06 22:43:09.369804,0 days 00:00:00.208712,euclidean,12,distance,COMPLETE
16,16,0.6260979073576495,2025-03-06 22:43:09.371808,2025-03-06 22:43:09.644033,0 days 00:00:00.272225,manhattan,6,distance,COMPLETE
17,17,0.6260979073576495,2025-03-06 22:43:09.644554,2025-03-06 22:43:09.906385,0 days 00:00:00.261831,manhattan,10,distance,COMPLETE
18,18,0.6260979073576495,2025-03-06 22:43:09.908390,2025-03-06 22:43:10.126689,0 days 00:00:00.218299,euclidean,13,distance,COMPLETE
19,19,0.6260979073576495,2025-03-06 22:43:10.128696,2025-03-06 22:43:10.359363,0 days 00:00:00.230667,minkowski,10,distance,COMPLETE
