,number,value,datetime_start,datetime_complete,duration,params_metric,params_n_neighbors,params_p,params_weights,state
0,0,0.34277471806976134,2025-03-06 22:45:59.857221,2025-03-06 22:46:01.098195,0 days 00:00:01.240974,manhattan,15,1,distance,COMPLETE
1,1,0.1405275270585254,2025-03-06 22:46:01.098195,2025-03-06 22:46:01.859337,0 days 00:00:00.761142,manhattan,7,2,uniform,COMPLETE
2,2,0.34277471806976134,2025-03-06 22:46:01.859337,2025-03-06 22:46:02.488607,0 days 00:00:00.629270,euclidean,17,3,distance,COMPLETE
3,3,0.34277471806976134,2025-03-06 22:46:02.488607,2025-03-06 22:46:03.147600,0 days 00:00:00.658993,minkowski,20,2,distance,COMPLETE
4,4,0.1405275270585254,2025-03-06 22:46:03.149606,2025-03-06 22:46:03.888136,0 days 00:00:00.738530,manhattan,12,1,uniform,COMPLETE
5,5,0.34277471806976134,2025-03-06 22:46:03.888136,2025-03-06 22:46:04.526074,0 days 00:00:00.637938,euclidean,3,2,distance,COMPLETE
6,6,0.34277471806976134,2025-03-06 22:46:04.526074,2025-03-06 22:46:05.308059,0 days 00:00:00.781985,euclidean,13,1,distance,COMPLETE
7,7,0.34277471806976134,2025-03-06 22:46:05.308059,2025-03-06 22:46:06.025360,0 days 00:00:00.717301,minkowski,19,2,distance,COMPLETE
8,8,0.34277471806976134,2025-03-06 22:46:06.025360,2025-03-06 22:46:07.063826,0 days 00:00:01.038466,minkowski,11,1,distance,COMPLETE
9,9,0.34277471806976134,2025-03-06 22:46:07.063826,2025-03-06 22:46:08.172035,0 days 00:00:01.108209,minkowski,4,1,distance,COMPLETE
10,10,0.1405275270585254,2025-03-06 22:46:08.172035,2025-03-06 22:46:08.986846,0 days 00:00:00.814811,manhattan,15,3,uniform,COMPLETE
11,11,0.34277471806976134,2025-03-06 22:46:08.986846,2025-03-06 22:46:09.790058,0 days 00:00:00.803212,euclidean,16,3,distance,COMPLETE
12,12,0.34277471806976134,2025-03-06 22:46:09.792063,2025-03-06 22:46:10.894147,0 days 00:00:01.102084,manhattan,16,3,distance,COMPLETE
13,13,0.34277471806976134,2025-03-06 22:46:10.896194,2025-03-06 22:46:11.784548,0 days 00:00:00.888354,euclidean,18,3,distance,COMPLETE
14,14,0.1405275270585254,2025-03-06 22:46:11.786556,2025-03-06 22:46:12.665505,0 days 00:00:00.878949,manhattan,10,2,uniform,COMPLETE
15,15,0.34277471806976134,2025-03-06 22:46:12.665505,2025-03-06 22:46:13.490511,0 days 00:00:00.825006,euclidean,14,3,distance,COMPLETE
16,16,0.34277471806976134,2025-03-06 22:46:13.491192,2025-03-06 22:46:14.277499,0 days 00:00:00.786307,euclidean,17,1,distance,COMPLETE
17,17,0.34277471806976134,2025-03-06 22:46:14.277499,2025-03-06 22:46:15.528133,0 days 00:00:01.250634,manhattan,9,2,distance,COMPLETE
18,18,0.1405275270585254,2025-03-06 22:46:15.528133,2025-03-06 22:46:16.552195,0 days 00:00:01.024062,euclidean,14,2,uniform,COMPLETE
19,19,0.34277471806976134,2025-03-06 22:46:16.552195,2025-03-06 22:46:17.855650,0 days 00:00:01.303455,manhattan,18,3,distance,COMPLETE
