,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_metric,params_n_neighbors,params_weights,state
0,0,0.1405275270585254,2025-03-06 22:53:28.019259,2025-03-06 22:53:30.117639,0 days 00:00:02.098380,kd_tree,euclidean,7,uniform,COMPLETE
1,1,0.1405275270585254,2025-03-06 22:53:30.119026,2025-03-06 22:53:31.212855,0 days 00:00:01.093829,auto,euclidean,10,uniform,COMPLETE
2,2,0.1405275270585254,2025-03-06 22:53:31.213796,2025-03-06 22:53:36.141883,0 days 00:00:04.928087,kd_tree,manhattan,6,uniform,COMPLETE
3,3,0.1405275270585254,2025-03-06 22:53:36.142414,2025-03-06 22:53:38.123427,0 days 00:00:01.981013,ball_tree,manhattan,8,uniform,COMPLETE
4,4,0.6260979073576495,2025-03-06 22:53:38.124485,2025-03-06 22:53:39.417435,0 days 00:00:01.292950,ball_tree,euclidean,3,distance,COMPLETE
5,5,0.1405275270585254,2025-03-06 22:53:39.418230,2025-03-06 22:53:40.338535,0 days 00:00:00.920305,auto,euclidean,4,uniform,COMPLETE
6,6,0.6260979073576495,2025-03-06 22:53:40.339544,2025-03-06 22:53:42.252563,0 days 00:00:01.913019,kd_tree,manhattan,10,distance,COMPLETE
7,7,0.1405275270585254,2025-03-06 22:53:42.252563,2025-03-06 22:53:43.843360,0 days 00:00:01.590797,ball_tree,manhattan,4,uniform,COMPLETE
8,8,0.1405275270585254,2025-03-06 22:53:43.843360,2025-03-06 22:53:45.077282,0 days 00:00:01.233922,auto,euclidean,6,uniform,COMPLETE
9,9,0.1405275270585254,2025-03-06 22:53:45.078078,2025-03-06 22:53:46.689286,0 days 00:00:01.611208,ball_tree,manhattan,3,uniform,COMPLETE
10,10,0.6260979073576495,2025-03-06 22:53:46.689941,2025-03-06 22:53:48.066523,0 days 00:00:01.376582,ball_tree,euclidean,14,distance,COMPLETE
11,11,0.6260979073576495,2025-03-06 22:53:48.068782,2025-03-06 22:53:49.975610,0 days 00:00:01.906828,kd_tree,manhattan,11,distance,COMPLETE
12,12,0.6260979073576495,2025-03-06 22:53:49.975959,2025-03-06 22:53:51.835602,0 days 00:00:01.859643,kd_tree,manhattan,12,distance,COMPLETE
13,13,0.6260979073576495,2025-03-06 22:53:51.835602,2025-03-06 22:53:53.838072,0 days 00:00:02.002470,kd_tree,euclidean,13,distance,COMPLETE
14,14,0.6260979073576495,2025-03-06 22:53:53.838701,2025-03-06 22:53:55.083034,0 days 00:00:01.244333,ball_tree,euclidean,9,distance,COMPLETE
15,15,0.6260979073576495,2025-03-06 22:53:55.083034,2025-03-06 22:53:56.355143,0 days 00:00:01.272109,ball_tree,manhattan,10,distance,COMPLETE
16,16,0.6260979073576495,2025-03-06 22:53:56.355772,2025-03-06 22:53:58.250594,0 days 00:00:01.894822,kd_tree,manhattan,15,distance,COMPLETE
17,17,0.6260979073576495,2025-03-06 22:53:58.251634,2025-03-06 22:54:00.155339,0 days 00:00:01.903705,kd_tree,euclidean,8,distance,COMPLETE
18,18,0.6260979073576495,2025-03-06 22:54:00.155339,2025-03-06 22:54:01.556102,0 days 00:00:01.400763,ball_tree,manhattan,5,distance,COMPLETE
19,19,0.6260979073576495,2025-03-06 22:54:01.556694,2025-03-06 22:54:02.131298,0 days 00:00:00.574604,auto,euclidean,12,distance,COMPLETE
