,number,value,datetime_start,datetime_complete,duration,params_C,params_penalty,state
0,0,0.9419112663225754,2025-03-06 23:56:31.381320,2025-03-06 23:56:34.218716,0 days 00:00:02.837396,0.03148911647956861,l1,COMPLETE
1,1,0.9865287240973833,2025-03-06 23:56:34.225120,2025-03-06 23:56:50.236307,0 days 00:00:16.011187,0.24810409748678125,l1,COMPLETE
2,2,0.9419112663225754,2025-03-06 23:56:50.237311,2025-03-06 23:56:50.633860,0 days 00:00:00.396549,0.0017073967431528124,l1,COMPLETE
3,3,0.9584815157580456,2025-03-06 23:56:50.633860,2025-03-06 23:56:53.699253,0 days 00:00:03.065393,0.679657809075816,l2,COMPLETE
4,4,0.9586865958132932,2025-03-06 23:56:53.699253,2025-03-06 23:57:07.952487,0 days 00:00:14.253234,2.1368329072358767,l1,COMPLETE
5,5,0.9419112663225754,2025-03-06 23:57:07.953474,2025-03-06 23:57:08.751061,0 days 00:00:00.797587,0.00541524411940254,l2,COMPLETE
6,6,0.9479234550149188,2025-03-06 23:57:08.751061,2025-03-06 23:57:10.087871,0 days 00:00:01.336810,0.05342937261279776,l2,COMPLETE
7,7,0.9419112663225754,2025-03-06 23:57:10.087871,2025-03-06 23:57:10.820662,0 days 00:00:00.732791,0.003613894271216527,l2,COMPLETE
8,8,0.9783700236991274,2025-03-06 23:57:10.830791,2025-03-06 23:57:16.514605,0 days 00:00:05.683814,0.06672367170464207,l1,COMPLETE
9,9,0.9837904361792965,2025-03-06 23:57:16.516146,2025-03-06 23:57:25.665989,0 days 00:00:09.149843,0.11400863701127326,l1,COMPLETE
