,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_hidden_size1,params_hidden_size2,params_learning_rate,state
0,0,0.9630465397589565,2025-03-05 16:37:28.025373,2025-03-05 16:37:35.211174,0 days 00:00:07.185801,32,0.1375605009745417,771,223,0.0004058425559101261,COMPLETE
1,1,0.9608760527107302,2025-03-05 16:37:35.212981,2025-03-05 16:37:39.091041,0 days 00:00:03.878060,64,0.24716466315112692,580,507,0.0011897918188112332,COMPLETE
2,2,0.9226433325028539,2025-03-05 16:37:39.091041,2025-03-05 16:37:41.754916,0 days 00:00:02.663875,64,0.38014061191782345,381,189,0.002909317800432881,COMPLETE
3,3,0.9182079965681215,2025-03-05 16:37:41.754916,2025-03-05 16:37:43.536661,0 days 00:00:01.781745,128,0.20207649322017834,277,326,0.002954825073338536,COMPLETE
4,4,0.44457234098683895,2025-03-05 16:37:43.536661,2025-03-05 16:37:46.836460,0 days 00:00:03.299799,64,0.1296987110917058,647,456,0.008109075070422633,COMPLETE
5,5,0.9035282258064515,2025-03-05 16:37:46.837141,2025-03-05 16:37:49.972233,0 days 00:00:03.135092,32,0.33599225633935004,783,506,0.008439376704970452,PRUNED
6,6,0.9164447857996244,2025-03-05 16:37:49.972233,2025-03-05 16:37:52.065134,0 days 00:00:02.092901,128,0.10007398035624177,637,470,0.00503591232409961,COMPLETE
7,7,0.8420587698100483,2025-03-05 16:37:52.065134,2025-03-05 16:37:55.583799,0 days 00:00:03.518665,64,0.19523268011235506,968,260,0.00035210022911750925,COMPLETE
8,8,0.9026595674310358,2025-03-05 16:37:55.583799,2025-03-05 16:37:57.218505,0 days 00:00:01.634706,128,0.324896934088567,291,92,0.00881045870925294,COMPLETE
9,9,0.9139243913331624,2025-03-05 16:37:57.218505,2025-03-05 16:37:59.090479,0 days 00:00:01.871974,128,0.3766062279931147,563,130,0.001938037103670579,COMPLETE
10,10,0.9240049334583729,2025-03-05 16:37:59.090479,2025-03-05 16:38:05.791714,0 days 00:00:06.701235,32,0.15561445502779075,1019,338,0.00014025902034749628,COMPLETE
11,11,0.9544767768362982,2025-03-05 16:38:05.791714,2025-03-05 16:38:11.291087,0 days 00:00:05.499373,32,0.25937603573572693,811,245,0.0008016756625768401,COMPLETE
12,12,0.9630465397589565,2025-03-05 16:38:11.291396,2025-03-05 16:38:14.453729,0 days 00:00:03.162333,64,0.25318244456517763,563,395,0.0005523336112570706,COMPLETE
13,13,0.9248739395569207,2025-03-05 16:38:14.459058,2025-03-05 16:38:19.599855,0 days 00:00:05.140797,32,0.2688311268520838,465,392,0.00036779147914260934,COMPLETE
14,14,0.9418819966630526,2025-03-05 16:38:19.602062,2025-03-05 16:38:23.270661,0 days 00:00:03.668599,64,0.20510687493408986,843,396,0.00040239490908698254,COMPLETE
15,15,0.6292465838933339,2025-03-05 16:38:23.270661,2025-03-05 16:38:26.780697,0 days 00:00:03.510036,32,0.2992455219225257,165,190,0.00017846671133423832,COMPLETE
16,16,0.9399923216260365,2025-03-05 16:38:26.780697,2025-03-05 16:38:30.114539,0 days 00:00:03.333842,64,0.16132149297517367,727,308,0.0006755126165120195,COMPLETE
17,17,0.9076715427260567,2025-03-05 16:38:30.114539,2025-03-05 16:38:35.178862,0 days 00:00:05.064323,32,0.22614961582631143,446,395,0.00022348522001992434,COMPLETE
18,18,0.790868117693245,2025-03-05 16:38:35.183450,2025-03-05 16:38:40.944469,0 days 00:00:05.761019,32,0.29423890936959707,866,214,0.0001086000523165872,COMPLETE
19,19,0.9397901079510945,2025-03-05 16:38:40.944469,2025-03-05 16:38:43.895685,0 days 00:00:02.951216,64,0.16374806756459867,717,137,0.0005877767587878259,COMPLETE
