,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.331006076828499,2025-03-03 15:41:46.520773,2025-03-03 15:41:48.344169,0 days 00:00:01.823396,64,0.3853177019224266,235,3.2372943036294265e-05,1,COMPLETE
1,1,0.12948028673835127,2025-03-03 15:41:48.344169,2025-03-03 15:41:49.339689,0 days 00:00:00.995520,32,0.03556091720100474,234,4.0556563863291185e-05,2,COMPLETE
2,2,0.12948028673835127,2025-03-03 15:41:49.339689,2025-03-03 15:41:49.693595,0 days 00:00:00.353906,128,0.4363548571853934,108,0.0017847141306108732,3,COMPLETE
3,3,0.83206290925238,2025-03-03 15:41:49.693595,2025-03-03 15:41:51.075891,0 days 00:00:01.382296,16,0.27302517439534585,162,0.01025528709283933,2,COMPLETE
4,4,0.12948028673835127,2025-03-03 15:41:51.075891,2025-03-03 15:41:51.384746,0 days 00:00:00.308855,128,0.34805601068308567,83,0.0009669810899089602,3,COMPLETE
5,5,0.2703003337041157,2025-03-03 15:41:51.384746,2025-03-03 15:41:51.645916,0 days 00:00:00.261170,128,0.15123731078655717,100,2.1988568480062835e-05,2,COMPLETE
6,6,0.9110673815011978,2025-03-03 15:41:51.645916,2025-03-03 15:41:52.252562,0 days 00:00:00.606646,32,0.2559705736618628,155,0.005785296181497304,3,PRUNED
7,7,0.2703003337041157,2025-03-03 15:41:52.268519,2025-03-03 15:41:53.065865,0 days 00:00:00.797346,16,0.43496703032147777,63,0.00010919400959714205,2,COMPLETE
8,8,0.28499821783043444,2025-03-03 15:41:53.066657,2025-03-03 15:41:53.653064,0 days 00:00:00.586407,16,0.26274955303332637,169,0.007490210038304118,1,PRUNED
9,9,0.1608465922772666,2025-03-03 15:41:53.653894,2025-03-03 15:41:54.537106,0 days 00:00:00.883212,16,0.2937808206903661,153,0.012813045019130258,2,PRUNED
10,10,0.09697586260153912,2025-03-03 15:41:54.537106,2025-03-03 15:41:54.825445,0 days 00:00:00.288339,64,0.13570923668145385,200,0.07903117986268676,1,PRUNED
11,11,0.44684298806958983,2025-03-03 15:41:54.825445,2025-03-03 15:41:55.245209,0 days 00:00:00.419764,64,0.3787229078723904,249,0.00026828158789801785,1,COMPLETE
12,12,0.36824852550749315,2025-03-03 15:41:55.245876,2025-03-03 15:41:55.633828,0 days 00:00:00.387952,64,0.17669584578872757,200,0.0003164872751163188,1,COMPLETE
13,13,0.22453641146421432,2025-03-03 15:41:55.633828,2025-03-03 15:41:55.873905,0 days 00:00:00.240077,64,0.4991746894742501,201,0.03225533339492693,1,PRUNED
14,14,0.12948028673835127,2025-03-03 15:41:55.873905,2025-03-03 15:41:56.603079,0 days 00:00:00.729174,16,0.35005811022803646,32,0.0010722742860646587,2,COMPLETE
15,15,0.46307097398166813,2025-03-03 15:41:56.603079,2025-03-03 15:41:57.090279,0 days 00:00:00.487200,64,0.3172501978908812,250,0.00020675332513055698,1,COMPLETE
16,16,1.0876405872404575,2025-03-03 15:41:57.094252,2025-03-03 15:41:58.085112,0 days 00:00:00.990860,16,0.20323279039041253,124,0.002600974164521499,3,PRUNED
17,17,0.12948028673835127,2025-03-03 15:41:58.100813,2025-03-03 15:41:58.931068,0 days 00:00:00.830255,32,0.09094175961133794,189,0.00039766884413884856,2,COMPLETE
18,18,0.3027453726836162,2025-03-03 15:41:58.932650,2025-03-03 15:42:00.142530,0 days 00:00:01.209880,16,0.3044140001975077,254,8.616730705935015e-05,1,COMPLETE
19,19,0.5005010925233364,2025-03-03 15:42:00.142530,2025-03-03 15:42:00.410284,0 days 00:00:00.267754,64,0.21229278957494113,132,0.022109490419134136,2,PRUNED
