,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state
0,0,0.0,2025-03-06 23:21:00.832214,2025-03-06 23:21:08.113117,0 days 00:00:07.280903,0.7467983561008608,0.11616722433639892,0.08927180304353628,5,3,160,0.7468055921327309,COMPLETE
1,1,0.0,2025-03-06 23:21:08.115127,2025-03-06 23:21:18.319145,0 days 00:00:10.204018,0.9497327922401265,0.4246782213565523,0.039913058785616795,8,1,156,0.9909729556485982,COMPLETE
2,2,0.0,2025-03-06 23:21:18.320880,2025-03-06 23:21:25.244662,0 days 00:00:06.923782,0.7873687420594125,1.223705789444759,0.015254729458052608,4,3,95,0.8295835055926347,COMPLETE
3,3,0.0,2025-03-06 23:21:25.244662,2025-03-06 23:21:32.670985,0 days 00:00:07.426323,0.7599021346475079,1.0284688768272232,0.019594972058679168,3,3,105,0.935552788417904,COMPLETE
4,4,0.0,2025-03-06 23:21:32.672998,2025-03-06 23:21:42.524940,0 days 00:00:09.851942,0.984665661176,1.9312640661491187,0.011128853174905732,6,1,141,0.7195154778955838,COMPLETE
5,5,0.0,2025-03-06 23:21:42.527460,2025-03-06 23:21:47.389341,0 days 00:00:04.861881,0.7366114704534336,0.9903538202225404,0.020165721691808594,7,4,64,0.8320457481218804,COMPLETE
6,6,0.0,2025-03-06 23:21:47.389341,2025-03-06 23:21:52.140360,0 days 00:00:04.751019,0.8560204063533432,1.0934205586865593,0.08115595675970502,3,4,89,0.7935133228268233,COMPLETE
7,7,0.0,2025-03-06 23:21:52.143209,2025-03-06 23:21:59.312568,0 days 00:00:07.169359,0.8793699936433255,1.8437484700462337,0.09323621351781479,4,5,167,0.9684482051282947,COMPLETE
8,8,0.0,2025-03-06 23:21:59.315273,2025-03-06 23:22:03.232744,0 days 00:00:03.917471,0.7814047095321688,1.6574750183038587,0.015703008378806716,3,2,56,0.8166031869068446,COMPLETE
9,9,0.0,2025-03-06 23:22:03.234754,2025-03-06 23:22:12.215971,0 days 00:00:08.981217,0.7223651931039312,1.9737738732010346,0.01909565280104538,5,1,131,0.9406590942262119,COMPLETE
